1;549,000.00
2;557,400.00
3;550,400.00
4;550,800.00
5;554,667.00
6;547,000.00
7;539,600.00
8;549,800.00
9;581,166.00
10;564,600.00
11;561,800.00
12;568,285.00
13;576,833.00
14;576,166.00
15;567,000.00
16;575,500.00
17;596,600.00
18;582,571.00
19;568,857.00
20;567,000.00
21;565,666.00
22;588,500.00
23;588,564.00
24;588,000.00
25;606,500.00
26;610,714.00
27;621,285.00
28;629,666.00
29;624,833.00
30;619,500.00
31;610,166.00
32;603,600.00
33;610,166.00
34;612,833.00
35;606,571.00
36;617,333.00
37;604,833.00
38;606,750.00
39;609,666.00
40;619,000.00
41;629,000.00
42;640,000.00
43;638,000.00
44;635,000.00
45;643,000.00
46;658,000.00
47;656,000.00
48;673,000.00
49;666,000.00
50;660,000.00
51;656,000.00
52;645,000.00
53;664,000.00
54;679,000.00
55;664,000.00
56;664,000.00
57;672,000.00
58;680,000.00
59;675,500.00
60;665,000.00
61;674,000.00
62;688,000.00
63;706,000.00
64;768,000.00
65;762,000.00
66;767,000.00
67;756,000.00
68;761,000.00
69;777,000.00
70;788,000.00
71;810,000.00
72;951,000.00
73;934,000.00
74;895,000.00
75;949,000.00
76;1,030,000.00
77;1,030,000.00
78;1,008,000.00
79;980,000.00
80;962,000.00
81;948,000.00
82;930,000.00
83;935,000.00
84;937,000.00
85;948,000.00
86;928,000.00
87;950,000.00
88;946,000.00
89;922,000.00
90;914,000.00
91;952,000.00
92;924,000.00
93;939,000.00
94;972,000.00
95;991,000.00
96;1,006,000.00
97;967,000.00
98;984,000.00
99;967,000.00
100;988,000.00
101;942,000.00
102;940,000.00
103;973,000.00
104;1,013,000.00
105;1,032,000.00
106;1,019,000.00
107;1,063,000.00
108;1,066,000.00
109;1,057,000.00
110;1,061,000.00
111;1,073,000.00
112;1,060,000.00
113;1,075,000.00
114;1,085,000.00
115;1,095,000.00
116;1,114,000.00
117;1,121,000.00
118;1,131,000.00
119;1,193,000.00
120;1,321,000.00
